epoch,class_id,class_name,precision,recall,ap50,ap50_95
1,0,rod,0.0004,0.0435,0.0001,0.0000
1,1,spring,0.0127,0.8939,0.1587,0.0444
2,0,rod,1.0000,0.0000,0.1353,0.0369
2,1,spring,0.3957,0.5303,0.4277,0.1883
3,0,rod,1.0000,0.0000,0.3017,0.1049
3,1,spring,0.4407,0.4470,0.4891,0.2138
4,0,rod,0.4012,0.4783,0.4160,0.1796
4,1,spring,0.5770,0.6200,0.6199,0.2996
5,0,rod,0.2239,0.7826,0.4632,0.2357
5,1,spring,0.7866,0.5833,0.7676,0.4057
6,0,rod,0.1113,0.9783,0.4173,0.1877
6,1,spring,0.6440,0.5892,0.6630,0.3488
7,0,rod,0.4995,0.3913,0.4567,0.2517
7,1,spring,0.5998,0.9318,0.8270,0.5012
8,0,rod,0.4908,0.5866,0.5377,0.2576
8,1,spring,0.7642,0.8104,0.8626,0.5051
9,0,rod,0.4783,0.4783,0.5555,0.3251
9,1,spring,0.7480,0.7121,0.8318,0.3950
10,0,rod,0.5022,0.5217,0.5669,0.2878
10,1,spring,0.8399,0.8348,0.9231,0.5383
11,0,rod,0.5353,0.5435,0.5861,0.2985
11,1,spring,0.7207,0.8788,0.8995,0.5877
12,0,rod,0.6231,0.5217,0.6346,0.3451
12,1,spring,0.6537,0.9470,0.9473,0.5500
13,0,rod,0.5807,0.6087,0.6256,0.3296
13,1,spring,0.8027,0.8864,0.9333,0.6358
14,0,rod,0.7142,0.6520,0.6766,0.3600
14,1,spring,0.7736,0.9318,0.9283,0.6263
15,0,rod,0.5920,0.6739,0.7202,0.3780
15,1,spring,0.7590,0.9242,0.9243,0.5976
16,0,rod,0.5783,0.7174,0.6866,0.3763
16,1,spring,0.7801,0.9167,0.9412,0.6426
17,0,rod,0.7160,0.6739,0.7569,0.4505
17,1,spring,0.8496,0.9545,0.9564,0.6471
18,0,rod,0.6010,0.6739,0.6979,0.3746
18,1,spring,0.7521,0.9773,0.9654,0.6711
19,0,rod,0.7125,0.7174,0.8063,0.4122
19,1,spring,0.9503,0.7576,0.9439,0.6153
20,0,rod,0.8644,0.6957,0.8418,0.4785
20,1,spring,0.8308,0.9318,0.9456,0.6587
21,0,rod,0.7361,0.7884,0.8526,0.5044
21,1,spring,0.8429,0.9470,0.9636,0.6795
22,0,rod,0.7179,0.7609,0.8547,0.4912
22,1,spring,0.9565,0.8335,0.9636,0.6653
23,0,rod,0.7429,0.8478,0.8912,0.5129
23,1,spring,0.7951,0.8258,0.9037,0.6328
24,0,rod,0.6752,0.8913,0.8936,0.5011
24,1,spring,0.8725,0.7045,0.8911,0.6512
25,0,rod,0.7509,0.7391,0.8295,0.4771
25,1,spring,0.9052,0.8409,0.9416,0.6856
26,0,rod,0.8160,0.7609,0.8962,0.4951
26,1,spring,0.7426,0.9697,0.9516,0.6945
27,0,rod,0.7789,0.8913,0.9245,0.5002
27,1,spring,0.8407,0.9697,0.9656,0.7125
28,0,rod,0.8170,0.6796,0.8712,0.4963
28,1,spring,0.8682,0.9479,0.9681,0.6616
29,0,rod,0.8165,0.8913,0.9387,0.5614
29,1,spring,0.8652,0.9242,0.9612,0.6460
30,0,rod,0.8886,0.8668,0.9317,0.5745
30,1,spring,0.9155,0.9032,0.9614,0.6635
31,0,rod,0.9509,0.8415,0.9430,0.5919
31,1,spring,0.9008,0.9470,0.9757,0.6618
32,0,rod,0.8634,0.8913,0.9465,0.5641
32,1,spring,0.9047,0.9353,0.9791,0.7172
33,0,rod,0.9106,0.8863,0.9421,0.6148
33,1,spring,0.9021,0.9778,0.9787,0.7342
34,0,rod,0.9538,0.8261,0.9446,0.5978
34,1,spring,0.9607,0.9848,0.9868,0.6978
35,0,rod,0.9102,0.8813,0.9483,0.6002
35,1,spring,0.9063,0.9523,0.9762,0.7168
36,0,rod,0.8853,0.9130,0.9490,0.5274
36,1,spring,0.9043,0.9015,0.9532,0.6940
37,0,rod,0.9767,0.9115,0.9684,0.5950
37,1,spring,0.9081,0.9242,0.9652,0.7207
38,0,rod,0.9518,0.8595,0.9619,0.5736
38,1,spring,0.9013,0.9545,0.9763,0.7632
39,0,rod,0.7996,0.9348,0.9196,0.5866
39,1,spring,0.9065,0.9551,0.9745,0.7212
40,0,rod,0.9483,0.7978,0.9503,0.6211
40,1,spring,0.9119,0.9621,0.9747,0.7417
41,0,rod,0.9154,0.9565,0.9528,0.6004
41,1,spring,0.9629,0.9843,0.9828,0.7422
42,0,rod,0.8777,0.8478,0.9343,0.5371
42,1,spring,0.9330,0.9502,0.9713,0.7369
43,0,rod,0.9096,0.8913,0.9446,0.6019
43,1,spring,0.9458,0.9251,0.9762,0.7623
44,0,rod,0.8528,0.8696,0.9234,0.6259
44,1,spring,0.9267,0.9621,0.9788,0.7607
45,0,rod,0.9063,0.8413,0.9266,0.6149
45,1,spring,0.9287,0.9242,0.9744,0.7453
46,0,rod,0.8425,0.9130,0.9374,0.6213
46,1,spring,0.8701,0.9697,0.9715,0.7579
47,0,rod,0.9104,0.8839,0.9443,0.6254
47,1,spring,0.9126,0.9394,0.9684,0.7539
48,0,rod,0.9505,0.8478,0.9574,0.5840
48,1,spring,0.9027,0.9470,0.9771,0.7758
49,0,rod,0.9330,0.9078,0.9534,0.6179
49,1,spring,0.8455,0.9697,0.9765,0.7672
50,0,rod,0.8912,0.8904,0.9491,0.6070
50,1,spring,0.8887,0.9683,0.9797,0.7731
