epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4385,2.09291,8.72555,0.01371,0.00657,0.46871,0.07943,0.02221,1.54081,4.85569,0.01109,0.00330601,0.00330601,0.0702459
2,44.6132,1.54405,5.2273,0.00856,0.69786,0.26515,0.28152,0.11259,1.56066,3.55424,0.01147,0.00663772,0.00663772,0.0402443
3,65.4764,1.552,4.10272,0.0089,0.72033,0.22348,0.3954,0.15934,1.59436,3.23211,0.01131,0.00996294,0.00996294,0.0102362
4,86.5764,1.52636,3.63709,0.00867,0.48908,0.54914,0.51798,0.23961,1.49772,2.72744,0.01031,0.00997803,0.00997803,0.00997803
5,107.671,1.42746,3.15592,0.00801,0.50522,0.68297,0.61538,0.3207,1.42721,2.4638,0.00998,0.00996097,0.00996097,0.00996097
6,128.509,1.46903,2.74766,0.00872,0.37761,0.78373,0.54016,0.26822,1.4187,2.54246,0.00973,0.00993906,0.00993906,0.00993906
7,149.406,1.45188,2.39164,0.00796,0.54965,0.66156,0.64187,0.37647,1.41543,1.73335,0.00954,0.00991232,0.00991232,0.00991232
8,170.442,1.44056,2.14582,0.00804,0.6275,0.69849,0.70015,0.38135,1.50763,1.56764,0.01057,0.00988079,0.00988079,0.00988079
9,191.376,1.43198,1.85845,0.00819,0.61315,0.59519,0.69364,0.36004,1.73554,1.50473,0.01211,0.00984449,0.00984449,0.00984449
10,212.588,1.41606,1.67033,0.00769,0.67105,0.67828,0.74497,0.41308,1.54959,1.31393,0.01045,0.00980345,0.00980345,0.00980345
11,234.023,1.38514,1.50912,0.00759,0.62796,0.71113,0.74278,0.4431,1.39604,1.16228,0.00961,0.00975773,0.00975773,0.00975773
12,255.269,1.36451,1.44777,0.00759,0.63839,0.73435,0.79093,0.44755,1.49715,1.12968,0.01052,0.00970736,0.00970736,0.00970736
13,276.292,1.31969,1.30935,0.00693,0.69172,0.74753,0.77942,0.48266,1.26907,1.0417,0.00846,0.00965239,0.00965239,0.00965239
14,297.354,1.27429,1.20772,0.00671,0.74392,0.7919,0.80246,0.49314,1.27138,1.04693,0.00842,0.00959289,0.00959289,0.00959289
15,318.406,1.31718,1.14187,0.00691,0.67549,0.79908,0.82223,0.4878,1.34361,0.95179,0.00879,0.00952889,0.00952889,0.00952889
16,339.15,1.29734,1.0777,0.00677,0.67918,0.81703,0.81389,0.50948,1.29054,0.91263,0.00857,0.00946048,0.00946048,0.00946048
17,359.925,1.25192,0.99349,0.00652,0.7828,0.81423,0.85666,0.54883,1.25273,0.83622,0.00829,0.00938772,0.00938772,0.00938772
18,380.719,1.24817,0.94521,0.00635,0.67655,0.82559,0.83169,0.52286,1.23858,0.8128,0.00814,0.00931067,0.00931067,0.00931067
19,401.494,1.23667,0.91906,0.00671,0.83142,0.73748,0.87512,0.5138,1.37742,0.89104,0.00871,0.00922942,0.00922942,0.00922942
20,422.258,1.19728,0.85492,0.00633,0.84756,0.81374,0.89373,0.56862,1.20025,0.78702,0.00779,0.00914405,0.00914405,0.00914405
21,443.018,1.19604,0.80177,0.00617,0.78952,0.86766,0.9081,0.59195,1.16705,0.66762,0.00762,0.00905463,0.00905463,0.00905463
